start_id,hub_1512,hub_1513,hub_1514,hub_1515,hub_1516,hub_1517,hub_1518,hub_1519,hub_1521,hub_1522,hub_1523,hub_1524,hub_1527,hub_1528,hub_1529,hub_1535,hub_1536,hub_1537,hub_1538,hub_1539,hub_1540,hub_1541,hub_1542,hub_1543,hub_1544,hub_1545,hub_1546,hub_1547,hub_1548,hub_1549,hub_1550,hub_1551,hub_1552,hub_1554,hub_1555,hub_1556,hub_1558,hub_1559,hub_1560,hub_1561,hub_1562,hub_1563,hub_1564,hub_1566,hub_1567,hub_1568,hub_1569,hub_1570,hub_1571,hub_1572,hub_1574,hub_1575,hub_1576,hub_1577,hub_1578,hub_1579,hub_1580,hub_1581,hub_1582,hub_1583,hub_1584,hub_1585,hub_1586,hub_1588,hub_1589,hub_1590,hub_1591,hub_1592,hub_1593,hub_1594,hub_1595,hub_1596,hub_1597,hub_1598,hub_1599,hub_1600,hub_1601,hub_1602,hub_1603,hub_1604,hub_1605,hub_1606,hub_1607,hub_1608,hub_1609,hub_1610,hub_1611,hub_1612,hub_1613,hub_1614,hub_1615,hub_1616,hub_1617,hub_1713,hub_2275,hub_2276,hub_2598,hub_2677,hub_2678,hub_2679,hub_2680,hub_2681,hub_2682,hub_2683,hub_2684,hub_2685,hub_2686,hub_2687,hub_2688,hub_2689,hub_2695,hub_2696,hub_2698,hub_2707,hub_2708,hub_2789,hub_2798,hub_2875,hub_3240
hub_1523,23,7,4,6,9,3,33,21,7,11,269,31,8,58,13,11,2,2,5,7,5,19,6,NA,11,37,21,22,7,8,5,1,7,4,29,36,5,18,18,22,8,12,5,7,5,11,72,26,23,6,97,34,37,32,15,12,16,16,12,31,5,12,19,45,20,19,22,4,10,18,60,95,19,132,32,152,7,14,11,18,14,16,37,1,20,24,17,15,8,13,23,17,59,9,2,2,2,NA,2,NA,1,1,NA,NA,1,3,1,NA,1,3,NA,NA,1,14,3,7,7,NA,1
hub_1524,17,1,5,8,7,4,5,10,49,14,36,162,3,16,5,6,NA,4,NA,NA,NA,14,NA,NA,8,27,7,9,5,NA,2,NA,NA,2,25,21,2,31,41,16,3,4,2,5,10,3,5,4,12,5,23,19,12,10,13,7,6,13,6,11,15,NA,15,32,8,8,4,16,3,46,134,14,53,80,2,31,NA,7,13,41,8,5,88,NA,3,16,20,7,6,3,10,32,137,10,2,2,NA,24,13,19,14,4,8,4,2,3,3,3,4,3,3,9,NA,5,10,11,6,NA,1
hub_1527,9,6,26,82,16,19,30,45,NA,10,2,3,174,6,3,3,8,12,4,30,4,104,4,1,29,6,4,1,79,36,15,22,32,15,9,5,NA,NA,1,5,21,1,2,NA,1,7,76,6,10,5,41,8,33,5,9,5,25,7,11,NA,NA,2,7,16,4,4,8,NA,3,1,NA,3,1,4,3,23,18,1,2,6,1,3,10,13,7,21,50,28,62,28,65,4,2,3,12,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,13,4,NA,1,NA,3,NA
hub_1528,94,8,29,7,38,NA,62,13,28,7,58,13,NA,579,141,20,3,26,7,3,3,49,21,43,59,132,191,274,6,9,22,2,5,3,25,16,93,4,10,54,332,328,42,104,106,86,89,63,221,24,74,55,50,113,132,24,278,60,83,123,135,121,67,216,77,195,21,124,362,11,46,20,25,30,7,86,2,12,13,15,12,10,19,3,22,25,25,16,2,4,48,56,12,133,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,3,4,22,NA,46,36,1,1
hub_1529,63,2,10,10,3,2,27,3,5,1,5,4,1,163,287,16,9,12,11,3,2,78,2,2,10,63,60,123,2,3,4,NA,4,1,9,12,45,NA,4,123,47,63,61,85,88,60,73,22,115,27,55,144,35,66,44,4,186,31,35,99,98,56,12,134,21,181,7,81,39,10,20,11,16,12,8,72,9,1,4,4,1,9,7,NA,3,41,8,17,3,NA,28,58,3,30,6,1,NA,8,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,9,NA,67,3,NA,NA
hub_1535,116,14,7,9,7,NA,12,1,1,2,3,5,1,59,21,233,16,34,28,41,30,48,20,15,53,34,14,10,6,8,9,2,2,8,5,6,18,NA,NA,63,4,24,22,55,15,299,174,32,67,68,410,51,161,41,64,22,68,191,169,14,14,6,30,153,9,130,19,23,6,7,10,4,2,9,6,45,8,1,11,4,4,10,8,3,7,23,13,17,6,19,47,51,2,27,4,1,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,NA,6,50,NA,1
hub_1536,12,14,20,2,16,1,16,9,NA,5,2,NA,4,10,9,5,146,19,16,30,17,30,23,7,53,4,3,2,NA,5,21,3,2,1,8,5,2,1,NA,12,6,3,6,4,3,9,40,14,7,24,25,23,17,12,17,22,29,33,22,6,3,1,62,18,4,16,8,1,7,6,1,1,2,11,2,17,3,4,15,11,9,5,14,1,27,16,15,10,7,17,54,10,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,2,NA,1,1,2,1
hub_1537,61,10,4,41,15,2,49,4,1,5,4,1,7,33,17,104,41,311,52,61,80,150,106,15,53,83,5,6,5,7,9,9,8,3,5,4,48,6,1,50,68,5,43,25,13,23,40,53,57,126,43,56,53,68,31,31,95,135,124,30,14,13,18,56,13,34,89,22,24,2,3,3,5,7,2,65,10,4,8,8,20,7,2,13,18,11,13,6,10,18,29,46,2,30,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,10,NA,47,5,18,NA
hub_1538,32,37,8,18,7,11,18,2,1,11,12,4,6,17,34,47,32,36,190,49,33,112,96,39,42,7,NA,19,20,2,6,NA,5,3,14,11,10,NA,3,21,18,4,14,14,9,14,59,53,23,179,30,33,36,71,39,55,44,75,41,4,11,12,11,23,7,26,59,11,8,2,3,10,3,6,1,34,1,1,23,8,NA,17,2,2,20,11,5,29,20,5,31,8,NA,18,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,NA
hub_1539,64,16,13,11,34,20,18,12,NA,9,12,NA,6,22,4,30,238,67,81,219,66,140,121,12,99,14,2,6,38,9,22,10,3,7,3,17,18,1,1,35,11,3,12,8,10,22,77,100,40,43,78,55,112,226,183,57,30,72,53,9,4,7,32,111,10,26,208,12,12,14,7,119,2,8,2,65,7,3,10,11,4,10,12,2,23,13,19,22,8,22,66,34,1,6,4,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,1,NA,NA,NA,1,13,1,6,4,10,NA
